symbol_count,typeface_count
66,7
67,12
68,20
69,27
70,30
71,33
72,43
73,51
74,52
75,56
76,76
77,74
78,72
79,80
80,56
81,65
82,65
83,47
84,43
85,31
86,28
87,25
88,22
89,4
90,5
100,1
101,1
102,6
103,4
104,7
105,18
106,21
107,23
108,37
109,32
110,35
111,32
112,52
113,62
114,65
115,66
116,39
117,55
118,65
119,65
120,48
121,54
122,52
123,30
124,31
125,38
126,25
127,16
128,16
129,17
130,12
131,3
132,8
133,5
134,1
135,1
136,2
137,5
138,1
139,4
140,6
141,6
142,4
143,13
144,16
145,14
146,29
147,26
148,32
149,43
150,25
151,46
152,45
153,54
154,59
155,58
156,62
157,54
158,54
159,53
160,46
161,46
162,38
163,27
164,31
165,34
166,31
167,19
168,14
169,4
170,10
171,13
172,5
173,9
174,5
175,5
176,4
177,6
178,4
179,7
180,13
181,15
182,16
183,16
184,23
185,27
186,35
187,29
188,39
189,34
190,28
191,48
192,40
193,59
194,45
195,48
196,48
197,57
198,41
199,47
200,46
201,48
202,41
203,41
204,40
205,36
206,22
207,18
208,17
209,14
210,11
211,10
212,8
213,9
214,4
215,2
216,5
221,1
